AMMTO Manure Managemnt Technology Supplier Contact List,,,,,,,,,
Company Name,Contact Person,Email,Phone No.,Fax No. ,Street Address,Town,Province,Country,Postal Code
Steinmüller Valorga Sarl,Claude Saint-Joly,,+33 4 67 994 100,+33 4 67 994 101,"1300 avenue Albert Einstein
Immeuble Stratégie Concept",Parc du Millénaire - BP 51,,FRANCE,F-34935 Montpellier Cedex 09
Stratech Technologies Environnementales inc.,Steven Blaney,stratech@mediom.qc.ca,418-831-6300,418-831-2636,"900, route Lagueux",Saint-Étienne-de-Lauzon,QC,CANADA,G6J 1B6
Summergreen Systems Ltd.,Daniel M. Lambert,dlambert@summergreen.com summerg@summergreen.com,519-527-2470 ,519-527-2560 ,"92 Railway Street, P.O. Box 668",Seaforth,ON,CANADA,NOK 1W0 
Super-F Inc. ,Anne-Marie Gagnon,info@super-f.com,514-648-1285,514-648-8962,7260 Honoré-Vaillancourt,Montréal,PQ,CANADA,H1E 2S2
Surface to Surface Inc.,Info Centre,sts@surfacetosurface.com,519-882-8781 or 1-800-567-0978,519-882-8784,"5150 Forest Road, R.R.#3",Watford,ON,CANADA,N0M 2S0
SWECO/VBB Viak,Anna Lindberg,,+46 8 695 6239,+46 8 695 6240,PO Box 34044,S-100 26 Stockholm,,SWEDEN,
Synagro Technologies Inc.,Paul Sellew; Randall Tuttle Pres.,secretary: jrogers @synagro.com,713-369-1700 or 1-800-370-0035,713-369-1750,"1800 Bering Dr., Suite 1000",Houston,TX,USA,77057
Systems Ecotechnologies Inc. (SEI),Dr. Gurunathan Lakshman,,306-955-0872,306-975-7011,222-111 Research Drive,Saskatoon,SK,CANADA,S7N 3R2
TAO Corporation,Shawn Kim,shawn@taocorp.biz,+82 33 763 4195,+82 33 763 4196,"#1072, Daean-ri, Hyungup-myun",Wonju-city,Kangwon-do,KOREA,Zip 220-841
"Taylor & Thomas Environmental, Inc. ",Dennis Crabtree,,727-781-5846,727-781-5759 ,2669 Cristal Circle ,Dunedin,FL,USA,34698
TBW GmbH,Andreas Krieg,,+49 69 9435 070,+49 69 9435 0711,Baumweg 16,D-60316 Frakfurt am Main,,GERMANY,
Technolyse Sa,Mcheust,,+33 02 9651 7010,+33 02 9651 7011,Le Menehy,Plenee-Jugon,,FRANCE,22640
Terra Organica,Carl Klauck,,905-895-3075,,735 Stonehaven Ave. Suite 211,Newmarket,ON,CANADA,L3X 2G3
The Dubara Company Inc.,Stephen Hoyt,steveh@albany.net ,518-732-7618  ,518-732-7618,"1177 Route 9, Suite 610",Castelton,NY,USA,12033
The Henry P. Thompson Company,Debbie Durchholz,DDurchholz@hpthompson.com,513-248-3200 or 1-800-597-5099,513-248-3201,501 TechneCenter Drive,Milford,OH,USA,45150
Three 3xR Research Inc.,Kenneth Haggerty,khaggerty@3xR.org or haggerty@istar.ca,416-221-8345,416-221-8345,"37 Hi Mount Dr.
",Willowdale,ON,CANADA,"M2K 1X3
"
Till-Tech Systems Ltd.,Ron Prong,tilltech93@execulink.com,519-775-2405,519-775-2614,6993 Quaker Rd. ,St. Thomas,ON,CANADA,N5P 3S9
Tong-Bo Institute,Sung-Dong Park or Dong-Chan Lee,dcleedclee@yahoo.ca,,,,,,SOUTH KOREA,
Transform Compost Systems Ltd. ,John Paul,john@transformcompost.com,604-504-5660,604-504-5666,#201 33230 Old Yale Rd.,Abbotsford,BC,CANADA,V2S 2J5
Trojan Technologies Inc. ,Robert Hunt,rhunt@trojanuv.com ,519-457-3400,519-457-3030,3020 Gore Road,London,ON,CANADA,N5V 4T7
UCI Bioaugmentation Research and Technology,,,541-851-8311,541-851-8312,P.O. Box 548,Klamath Falls,OR,USA,97601
Ultra Bio-Logics Inc,Tony/George,Service@ublcorp.com,1-800-361-8325 or 514-339-2650,514-333-0001,,,,,
University of Iowa,David Soll,david-soll@uiowa.edu,319-335-1117,,"Biological Sciences, 302 BBE",Iowa City,IA,USA,52242
US Filter's Envirex Products,,,262-547-0141,262-547-4120,P.O. Box 1604,Waukesha,WI,USA,53187
"USDA-ARS Coastal Plains Soil, Water, and Plant Research Center",Matias B. Vanotti ,vanotti@florence.ars.usda.gov,843-669-5203 ext 108,843-669-6970,2611 W. Lucas St.,Florence,SC,USA,29501-1241
USFilter Kruger Products,Jason Bivins,bivinsj@usfilter.com,919-677-8310 x.150,919-677-0082,"401 Harrison Oaks Blvd., Suite 100",Cary,NC,USA,27513
Val'Epure,Isabelle Robin,valepure@wanadoo.fr,+33 02 9674 5657,+33 02 9674 4113,1 rue Guynemer - BP 212 ,PLERIN Cedex ,,FRANCE,22191 
VerdiTech,Ken Abercrombie,verditch@aol.com,559-297-7370   ,559-297-7370,12749 East Heather Drive,Clovis,CA,USA,93611
Vermitech Systems,Albert (Allen) Eggan,aleggen@vermitechsystems.com,416-693-1027,416-693-9744,2328 Queen St. East,Toronto,ON,CANADA,M4E 1G9 
Vincent Corporation,Bob,bob@vincentcorp.com,813-248-2650,813-247-7557,2810 5th Avenue,Tampa,FL,USA,33605
Vulcan Performance Chemicals,Terry Pegan,contactus@vul.com,1-800-474-4086,205-298-2955,P.O. Box 385015 ,Birmingham ,AL,USA,35238-5015
Wastewater Evaporators,,info@wastewaterevaporators.com,978-256-3259 ,508-660-9613 ,166 Coney Street  ,"E. Walpole, ",MA,USA,02032 
we energies and Ag Environment Solutions LLC,Chris Iglar, ,414-221-4444,,231 W. Mighigan,Milwaukee,WI,USA,53290
Westfalia Separator Canada Inc.,Paul Scott,scott.paul@wsus.com,905-319-3900,905-319-3903,5353 John Lucas Dr. ,Burlington,ON,CANADA,L7L 6G5
WMC Resource Recovery Ltd,Peter Cumberlidge,,+44 117 973 7993,+44 117 973 3167,2 Eaton Crescent,Clifton,Bristol,UNITED KINGDOM,BS8 2EJ
"World Wide Enzymes, Inc. Odor Research Division",Michael Reif ,zymplex@hotmail.com,506-228-5853,506-228-5850,Department 40  P.O. Box 025216,Miami,FL,USA,33102
Zenon Environmental Systems Inc.,Larry Novachis,lnovachi@zenonenv.com,905-465-3030,905-465-3050,3239 Dundas St. West,Oakville,ON,Canada,L6M 4B2
Zeo-Tech Enviro Inc.,Ray / David,"zeotech@zeo-can.com
","604-684-3301 
","604-684-3394 
",Suite 2300 - 1066 West Hastings Street,Vancouver,BC,CANADA,"V6E 3X2 
"
,C.G. Jenson,,+45 86 273 499,+45 86 273 677,Stenvej 21,DK-8270 Højbjerg,,DENMARK,
,Dr. John J. Classen,john_classen@ncsu.edu,919-515-6800,919-515-7760,"Biological and Agricultural Engineering, North Carolina State University",,NC,USA,
