COMPANY,FSC_CODE,COUNTRY,CONTINENT,ADDRESS,CONT_PER,TELEPHONE,FAX,EMAIL,WEBSITE,ISSUDATE,EXPDATE,PRODUCTS
Fabryka Mebli AIB sp. z o.o.,SW-COC-1222,Poland,Europe,"ul. Radomska 86 Starachowice, 27-200",Mr. Jaroslaw Adamczyk,"+48412748681, +48600857288","+48412748681, +48600857288",technika@fmaib.com.pl ,www.fmaib.com.pl,17.05.04,16.05.09,Furniture - outdoor / garden
“SEKPOL” LEWONCZYK SPOLKA JAWNA,SGS-COC-1262,Poland,Europe,"83 Sejnenska St., 16-400 Suwalki, POLAND",Mr. Dariusz Lewonczyk – owner,+ 48 87 566 20 76,+ 48 87 563 18 96,,27.12.02,26.12.07,Garden wooden products.,
“Erton” Tomasz Ueberham,SGS-COC-1746,Poland,Europe,"48 Witowo, 63-025 Witowo, POLAND",Mr. Tomasz Ueberham– owner,+ 48 502 03 70 01,+ 48 61 437 10 81,,02.06.04,01.06.09,Furniture support,
Baltic Wood S.A.,SW-COC-1237,Poland,Europe,"Fabryczna 6 A Jaslo, 38-200",Mr. Wojciech Warchola,48134458401,48134458404,wwarchola@nowystyl.com.pl ,www.balticfloor.com.pl,14.06.04,13.06.09,Parquet Floating parquet.
CARLSON I PIECHOCKI Spolka Jawna,SGS-COC-1742,Poland,Europe,"108 Mickiewicza St., 38-200 Jaslo",Mr. Wlodzimierz Piechocki – co-owner,+48 13 49 150 72,+48 13 49 150 74,,25.05.04,24.05.09,95.000 pieces,
Eksport-Import “TRANSPIL-SPEDITION” Walde (P.H.U.S),SW-COC-1253,Poland,Europe,"Bydgoska 2 Krajenka, 77 - 430",Mr. Sebastian Kokowski,48672639232,48672639000,,24.06.04,23.06.09,Lumber (kiln-dried) Sawdust Lumber (green) Panels Construction elements,
A.S. TRADING Sp. z o.o.,SGS-COC-1720,Poland,Europe,"Al. Wojska Polskiego 25, 05-800 Pruszkow",Mr. Andrzej Szczepkowski – Director of Management Board,+48 22 728 41 59,+48 22 728 41 59,,05.05.04,04.05.09,Furniture elements,
ZAKLAD STOLARSKI Dariusz Tumiel,SGS-COC-1710,Poland,Europe,"10/5 Armii Krajowej, 14-300 Morag",Mr. Dariusz Tumiel,48 89 757 15 80,48 89 757 11 21,,05.05.04,04.05.09,Furniture elements,
P.P.H.U „DREW-HURT”,SGS-COC-1707,Poland,Europe,"2 Nowa St., 23-400 Bilgoraj,",Mr. Dariusz Lukasik,+ 48 84 686 76 14,+ 48 84 686 76 40,,05.05.04,04.05.09,Sawmill products and constructional wood,
STOLARSTWO s.c.,SGS-COC-1706,Poland,Europe,"Pruszkow 43 b, 62-800 Kalisz",Mr. Ryszard Kuras,+48 62 76 02 997,+48 62 76 03 180,,05.05.04,04.05.09,Doors and windows,
Szeliga,SW-COC-1194,Poland,Europe,"ul. Wschodnia 14 Konstancin, 05-510",Ms. Hanna Szeliga,"48227540507, +48227541856",48227546643,szeliga1@poczta.onet.pl ,,08.04.04,07.04.09,Flooring -
DORADZTWO – PRODUKCJA – HANDEL Jerzy Pawlowicz,SGS-COC-1691,Poland,Europe,"22 F Kolejowa St. Sulow, 56-300 Milicz POLAND",Mis. Karolina Pawlowicz –,+ 48 71 38 47 202,+ 48 71 38 47 202,,30.03.04,29.03.09,Sawn timber,
“JURAND” Andrzej Niemyt,SGS-COC-1689,Poland,Europe,"Walycz 18 F, 87-200 Wabrzezno",Mr. Andrzej Niemyt,+48 56 49 819 15,+48 56 49 819 15,,30.03.04,29.03.09,"Palisades, roll-borders",
Spolka Jawna “Dab-Wel” Grau-Brzoska Justyna & Kiszkiel Krzysztof,SGS-COC-1687,Poland,Europe,"19/17 Literacka St., 01-864 Warszawa oddzial Lidzbark 3 Glowny Dworzec St., 13-230 Lidzbark",Ms. Justyna Grau Brzoska,+48 23 696 11 19,+48 23 696 11 19,,25.03.04,24.03.09,Garden wooden products,
Massive Production Poland Sp. z o.o.,SGS-COC-1686,Poland,Europe,"6a Objazdowa St., 62-300 Wrzesnia",Mr. Mariusz Fechner,+48 61 640 33 65,+48 61 640 33 00,,25.03.04,24.04.09,Wooden lamps’ elements,
Zaklad Produkcyjny „TOM-DREW”,SGS-COC-1681,Poland,Europe,"23 Szkola St, 88-210 Dobre, POLAND",Mr. Tomasz Szporka - owner,+ 48 54 285 90 60,+ 48 54 285 90 48,,11.03.04,10.03.09,Roll-borders,
P.P.U NORDTECHNIK Sp. z o.o.,SGS-COC-1744,Poland,Europe,"47b/1 Wl. Lokietka, 81-736 Sopot",Mr. Andrzej Hoszard –,+ 48 58 551 74 06,+ 42 58 551 74 06,,02.06.04,01.06.09,Broker activity.,
Tartak Chojno SOMAPOL Slawomir Sobota,SW-COC-1295,Poland,Europe,"Chojno 110 A Chojno, 63-921",Ms. Hanna Sobota,48655451420,ssobota67@wp.pl ,somapol.prv.pl,31.08.04,30.08.09,Flooring Furniture parts Lumber (kiln-dried) Sawdust Lumber (green) Construction elements,
PPUH Walerian Grzegorz Fabich (Multi Site),SGS-COC-1860,Poland,Europe,"5 Klosy St., 78-500 Drawsko Pomorskie, POLAND",Mr. Grzegorz Fabich,+ 48 94 36 345 31,+ 48 94 36 344 44,,08.10.04,07.10.09,"Charcoal, briquette",
„IPALCO” (POLAND) Sp. z o.o.,SGS-COC-1850,Poland,Europe,"48 Poznanska St., 62-045 Pniewy",Mr. Krystian Kierski - Trade Dept. Manager,+48 61 29 11 272,+48 61 29 11 289,,23.09.04,23.09.09,"Purchase, impregnation and resale of the wooden ready products. Zakup, impregnacja i odsprzedaz drewnianych wyrobów.",
„INTER WOOD” Sp. z o.o.,SGS-COC-1859,Poland,Europe,"37 Rabedy St., 07-405 Troszyn",Mr. Marek Sawicki– Director of Management Board,+48 29 767 14 02,+48 29 767 17 98,,08.10.04,07.10.09,Garden wooden products and bonded panels,
„METPEX” ZAKLAD WYROBOW Z DREWNA Import – Export Mieczyslaw Peplinski & Arleta Peplinska,SGS-COC-1848,Poland,Europe,"29 Lukowska St., 89-650 Czersk",Mr. Mieczyslaw Peplinski – owner,+48 52 39 84 638,+48 52 39 84 638,,23.09.04,23.09.09,"Production and sales of picnic bench, basements shelf and basements furniture. Produkcja i sprzedaz lawek piknikowych, regalów piwnicznych i mebli piwnicznych.",
PPHU „PAULA” Witold Wicher,SGS-COC-1846,Poland,Europe,"18 a Glisno Wielkie, 77-130 Lipnica",Mr. Sylwester Trzebiatowski – Director,+48 59 821 80 66,+48 59 821 82 78,,23.09.04,23.09.09,Garden wooden products and constructional wood,
WAMAR-SOSENKA S.c.,SW-COC-1297,Poland,Europe,"Poznanska 11 Gadki, 62-023",Mr. Wacaw,48618199005,48618198297,biuro@wamar-sosenka.pl ,,01.09.04,01.09.09,Flooring Lumber (kiln-dried) Panel products Shelving Wainscoting Lumber (green) Lumber
"„TOKAR” Wyroby Toczone z Drewna K. Walczak, K. Madaj Spolka Jawna",SGS-COC-1628,Poland,Europe,"27 Armii Poznan St., 64-600 Oborniki,",Mr. Kazimierz Walczak,+ 48 61 29 67 373,+ 48 61 29 67 373,,21.01.04,20.01.09,Wooden lamps elements,
“Maly” Andrzej Mazur – Group Scheme,SGS-COC-1838,Poland,Europe,"32 Jeziory, 66-200 Swiebodzin, POLAND",Mr. Andrzej Mazur,+48 68 381 17 97,+ 48 68 381 17 97,,06.09.04,06.09.09,Turned & plane products,
Z.P.U.H. “TARTAK LOMZA” Sp. z o.o.,SGS-COC-1532,Poland,Europe,164 Sikorskiego Str. 18-400 Lomza,Mr. Zbigniew Buczma,48 86 21 60 141,+48 86 21 60 141,,10.10.03,09.10.08,Sawn timber,
“KRYNICA” Piotr Jaroslaw Toczydlowski,SGS-COC-1822,Poland,Europe,"16 m 32 Bialostoczek, 15-869 Bialystok, Poland",Mr. Piotr Jaroslaw Toczydlowski –,+48 85 749 10 38,+48 85 749 10 38,,17.08.04,16.09.04,Garden wooden products,
Meblomet Spóldzielnia Pracy,SW-COC-1248,Poland,Europe,"Marka 1 Mszana Dolna, 34-730",Mr. Krzysztof Kulig,48183310070,48183810016,kulig@meblomet.com.pl ,www.meblomet.com.pl,22.06.04,21.06.09,Furniture - outdoor / garden
PPHU POLDREW Sp. z o.o.,SGS-COC-1817,Poland,Europe,"9 Zielunska St, 13-230 Lidzbark",Mr. Michal Jarzynka –,+48 23 696 15 13,+48 23 696 17 38,,12.08.04,11.08.09,Garden wooden products and constructional wood,
INTERHOLZ Sp. z o.o.,SGS-COC-1829,Poland,Europe,"Polana Lakowa, 89-650 Czersk",Mr. Remigiusz Gnacinski –,+48 52 39 54 485,+48 52 39 54 485,,30.08.04,30.08.09,Garden wooden products,
Handel Drzewem i Tarcica Handel Miesem Jerzy Majewski,SW-COC-1283,Poland,Europe,"Wólka Baltowska 6A Baltów, 27-423",Mr. Jerzy Majewski,48606325441,,04.08.04,03.08.09,Lumber (green),,
Zbigniew Florecki,SW-COC-1255,Poland,Europe,"Studencka 40/50 Warszawa, 02-735",Mr. Zbigniew Florecki,48228530792,48228534448,florecki@warman.com.pl ,,01.07.04,30.06.09,Furniture - outdoor / garden Garden supplies Shelving Trellis
Zaklad Drzewny „KUJAN” Sp. z o.o.,SW-COC-1268,Poland,Europe,"Kujan 18 Zakrzewo , 77-424",Mr. Marian Sadowski,48672667526,48672631978,zdkujan@op.pl ,,12.07.04,11.07.09,Flooring 1000 Furniture - outdoor / garden Wood chips Sawdust Lumber (green) Construction element
Zaklad Produkcyjno - Handlowy PATEKS,SGS-COC-1805,Poland,Europe,"52 Targowa St., 46-030 Stare Budkowice, POLAND",Mrs. Teresa Paszko - owner,+ 48 77 42 10 233,+ 48 77 42 76 636,,29.07.04,28.07.09,Roll-border & palisade,
Przedsiebiorstwo Produckyjno-Handlowe “JANIMARK” Sp. z o.o.,SGS-COC-1783,Poland,Europe,"Przebrod, 16-400 Suwalki",Ms. Marek Jeleniewicz – co-owner,+48 87 56 38 231,+48 87 56 38 231,,09.07.04,08.07.09,Sawn timber.,
DEMEX – Zaklad Wytworczy,SGS-COC-1778,Poland,Europe,"36 Robotnicza St., 26-200 Konskie, POLAND",Mr. Zbigniew Cholewinski - owner,+ 48 48 672 40 24,+ 48 48 672 47 41,,05.07.04,04.07.09,Flowerpots,
Torunskie Przedsiebiorstwo Przemyslu Drzewnego S.A.,SW-COC-1244,Poland,Europe,"ul. Moniuszki 12 Torun, 87-100",Mrs. Emilia Mackowiak,48566555187,48566227455,tppd-biuro@wp.pl ,,22.06.04,21.06.09,
TRAKPOL Sp. z o.o.,SW-COC-1242,Poland,Europe,"Trzebinia 380 Zywiec, 34 - 330",Mr. Zbigniew Kruszecki,48338611701,,16.06.04,15.06.09,Flooring Furniture - outdoor / garden Lumber (kiln-dried) Lumber (green) Construction elements,,
Zaklad Drzewny Jerzy Winkiel,SW-COC-1243,Poland,Europe,"Rybarzowice 824 Rybarzowice, 43 - 378",Mr. Jerzy Winkiel,48338177991,48338177940,winkiel@polbox.com ,,16.06.04,15.06.09,Furniture parts Lumber (kiln-dried) Lumber (green) Construction lumber
DREW-LAS Sp. z o.o.,SW-COC-1250,Poland,Europe,"Piotrowskiego 1A Ujsoly, 34 - 371",Mr. Maciej Goliszewski,48338641540,export@pro-drewex.com.pl ,,22.06.04,21.06.09,Flooring 2000 Lumber (kiln-dried) Wood chips Sawdust Lumber (green) Panels Construction elements,
"DREWGOR S. Walczak i S-ka, Spolka Jawna",SGS-COC-1821,Poland,Europe,"60 Mysliborska St., 66-400 Gorzow Wlkp., POLAND",Mr. Henryk Walorek –,+ 48 95 72 05 002,+ 48 95 72 24 106,,17.08.04,16.09.09,Turned & plane products,
Zielony Dab sp. z o.o.,SW-COC-1050,Poland,Europe,"ul. Dr. G. Matusewicz 5 Szczecinek, 78-400",Mr. Marek Ambroszkiewicz,48943721122,48943721122,wood@wood.pl ,,01.11.03,31.10.08,Furniture - outdoor / garden 3000 Garden supplies 1000 Construction wood
Zespol Skladnic Lasow Panstwowych w Miastku,SGS-COC-1602,Poland,Europe,"Pasieka 55, 77-200 Miastko",Mr. Cezary Ostaszewski,+48 59 857 32 11,+48 59 857 22 36,,22.12.03,21.12.08,"Palisades, roll-borders",
ACORD spolka z o.o.,SGS-COC-1601,Poland,Europe,"368 Grunwaldzka Str., 60-173 Poznan",Mr. Jacek Murat,+48 95 731 48 55,+48 95 731 48 57,,22.12.03,21.12.08,Garden wooden products,
Przedsiebiorstwo Produkcyjno-Handlowo-Uslugowe “EXTRANS” Zaklad Produkcji Drzewnej,SGS-COC-1595,Poland,Europe,61 Sanocka St. 38-500 Trepcza / Sanok,Mr. Jan Dyrkacz,+48 13 464 21 00,48 13 464 21 01,,19.12.03,18.12.04,"Sawn timber, stripes and bonded boards",
PPUH Export - Import “MATOR-BIS II” Piotr Matuszak,SGS-COC-1546,Poland,Europe,"17 Szybka Str., 88-200 Radziejow,",Mr. Piotr Matuszak,+ 48 54 285 37 40,+48 61 291 52 48,,05.11.03,04.11.08,"Purchase of logs, production and sales of garden wooden products.",
Zaklad Stolarski Wlodzimierz Kazmierczak,SGS-COC-1592,Poland,Europe,"19 Odrodzenia Str., 95-082 Dobron",Mr. Wlodzimierz Kazmierczak,+48 43 67 72 045,+48 43 67 72 633,,19.12.03,18.12.08,"Profiled battens, window sills",
Tartak Uslugowo- Produkcyjny Bogdan Manelski,SW-COC-1167,Poland,Europe,"Urszulewo Urszulewo, 87-506",Mr. Bogdan Manelski,48542801466,48542801466,,03.03.04,02.03.09,,
PPHU DREWNOSTYL,SGS-COC-1583,Poland,Europe,"Nieskorz 16, 07-304 Jasienica",Mrs. Elzbieta Tyl,48 29 644 35 67,48 29 644 35 67,,03.12.03,02.12.08,"Palisades, fences",
KOJTEK Danuta i Jerzy Kojtek Spólka Jawna,SW-COC-1096,Poland,Europe,"Szymany Szczytno, 12-100",Mr. Stanislaw Zera,"48896221400, +48604239157",48896221218,kojtek@telbiur.com.pl ,,15.12.03,14.12.08,Furniture - outdoor / garden 2000 Garden supplies 2000 Lumber (kiln-dried) 1000 Poles 5000 Lumber (green) 1000 Posts 5000 Playground equipment
P.P.U.H. Jerzy Matyaszek,SW-COC-1092,Poland,Europe,"ul. 27 Stycznia 10/1 Andrychów, 34-120",Mr. Jerzy Matyaszek,+48 33 8704670,+48 33 8704671,jmatyasz@poczta.onet.pl ,,01.12.03,30.11.08,Lumber (kiln-dried) Lumber (green)
"P.P.H.U. ""DREWIT"" sp. z o.o.",SW-COC-1090,Poland,Europe,"Swierczewskiego 12 Witnica, 66-460",Mr. Jaroslaw Biskowski,48957279010,48957279012,drewit@kam.pl ,,01.12.03,30.11.08,Furniture - outdoor / garden Sawdust Chips Construction wood
"“OSTROVIA” M. Trwoga, M. Trwoga spolka jawna",SGS-COC-1609,Poland,Europe,"Ostrow Polnocny 49, 16-113 Szudzialowo",Mr. Marek Trwoga,+48 85 722 14 19,+48 85 676 09 29,,14.01.04,13.01.09,"Garden wooden products, arbours",
"P.P.H. ""CORPOL"" sp. z o.o.",SW-COC-1072,Poland,Europe,"ul. Hoza 65 Kielce, 25-618",Jerzy Cicho,"+48 41 3478350, +48 601152795",+48 41 3457379,,01.12.03,30.11.08,,
P.P.U „TOMEX”,SGS-COC-1594,Poland,Europe,72-314 Radowo Male,Mr. Benedykt Balamacek,+ 48 91 460 90 62,+ 48 91 460 90 62,,19.12.03,18.12.08,Garden wooden products,
PPHU Zaklad Drzewny Andrzej Brewka,SW-COC-1058,Poland,Europe,Stawiguda 110 11-034,Mr. Andrzej Brewka,48895126116,48895126111,,15.10.03,14.10.08,Flooring 2000 Lumber (kiln-dried) 3000 Lumber (green) 5000 Panels 1000 Construction wood 2000,
Tartom sp. z o. o. Zak,SW-COC-1067,Poland,Europe,"Bialobrzeska 49 Tomaszów Mazowiecki, 97-200",Mr. Bogdan Niemczyk,48447231556,48447231154,tartom@tartom.com.pl ,www.tartom.com.pl,15.09.03,14.09.08,Flooring Lumber (kiln-dried) Sawdust Lumber (green) Chips
Przedsiebiorstwo Produkcyjno Handlowo Uslugowe Import Export Handel Hurtowy i Detaliczny Andrzej Kosowski,SGS-COC-1575,Poland,Europe,"6/1 Emili Plater Str., 19-500 Goldap",Mr. Andrzej Kosowski,+48 87 615 35 12,,19.11.03,18.11.08,"Sawn timber, pallets",,
„KABEX” M i K Bogunia Sp. j.,SGS-COC-1569,Poland,Europe,"41 Zurawska St, 42-252 Janow,",Mr. Kazimierz Bogunia,+ 48 34 32 78 500,+ 48 34 32 78 057,,18.11.03,17.11.08,Furniture and garden wooden products,
Przedsiebiorstwo Wielobranzowe BOSTRAK,SGS-COC-1557,Poland,Europe,"5/1 Zeromskiego Str., 19-500 Goldap",Mr. Stanislaw Szulc,+48 87 615 66 62,+48 87 615 66 62,,11.11.03,10.11.08,Sawn timber.,
JAWOR S.C. Lucyna i Wojciech Mierzeniewscy,SGS-COC-1555,Poland,Europe,"1 Towarowa Str., 19-300 Elk",Mr. Wojciech Mierzeniewski,+48 87 610 16 30,+48 87 610 16 30,,11.11.03,10.11.08,Sawn timber.,
Zaklad Stolarski Wojciech Konopko,SGS-COC-1553,Poland,Europe,"Cmentarna Str., 16-420 Raczki",Mr. Wojciech Konopko,+48 87 568 59 46,,11.11.03,10.11.08,Garden wooden products,,
Przedsiebiorstwo Wielobranzowe EXIM Sp. z o.o.,SGS-COC-1549,Poland,Europe,"70 Polna Str, 62-052 Komorniki",Mr. Pawel Kowalak,+ 48 61 810 77 09,+48 61 810 77 09,,05.11.03,04.11.08,Constructional wood,
P.P.H.U Barbara Jaloszynska,SGS-COC-1548,Poland,Europe,"3 Bieganowo, 88-200 Radziejow",Mrs. Barbara Jaloszynska –,+ 48 54 285 35 47,,05.11.03,04.11.08,Garden wooden products,,
"Zaklad Stolarstwo i Tokarstwo w Drewnie S.C., Dariusz Maciazka, Krzysztof Macia&",SW-COC-1302,Poland,Europe,"Bialka 244 Maków Podhalanski, 34-220",Mr. Dariusz,"48338773351, +48694902938",48338773351,,10.09.04,09.09.09,Furniture,
Zaklad Pro-Drewex.,SW-COC-1087,Poland,Europe,"34-361 Zabnica 287 Zabnica , POLAND",Ms. Katarzyna Kupczak,+48 33 864 15 40,+48 33 864 28 60,export@pro-drewex.com.pl ,www.pro-drewex.com.pl,01.12.03,30.11.08,DoorsFlooring Furniture - outdoor / garden Lumber (kiln-dried) Shelving Sawdust Windows Boards Panels
Przedsiebiorstwo Produkcyjno-Uslugowe “KOPGARD” Spolka z o.o.,SGS-COC-1674,Poland,Europe,"1 Kosciuszki St., 46-057 Kolonowskie",Mr. Ryszard Joszko – Director of the Management Board,+48 77 461 11 23,+48 77 461 10 67,,02.03.04,01.03.09,"Palisades, roll-borders",
"Firma Produkcyjno- Handlowa ""Galdrew"" Mariusz Slomski",SW-COC-1152,Poland,Europe,"Zurowa 82, 38-247 Olpiny,","Mariusz Slomski,",48146518340,48146518138,slomski@pro.onet.pl ,www.galdrew.com.pl,23.02.04,22.02.09,Exporter Primary manufacturer Secondary manufacturer
"Tartak Uslugowy ""CENTRUM"" inz. Zbigniew Janowczyk",SW-COC-1153,Poland,Europe,"Badowo-Msciska, 96-320 Mszczonów, Poland","Zbigniew Janowczyk,","+48468571349, +48601825551",48468571349,centrumtartak@wp.pl ,,23.02.04,22.02.09,Exporter Primary manufacturer Secondary manufacturer
P.P.U.H. Watar Kazimierz Waniek,SW-COC-1141,Poland,Europe,"ul. Kosnego 6 Byczyna, 46-220",Mr. Kazimierz Waniek,48774134083,48774072736,,11.02.04,11.02.09,Furniture parts Sawdust Lumber (green) Construction wood Kiln drying,
Zaklad Produkcyjno- Handlowy Export-Import,SW-COC-1136,Poland,Europe,"Rzepiennik Suchy 65, 33-163 Rzepiennik Strzyzewski,","Martyka,",48146531510,48146531510,allplayer@op.pl ,,02.06.04,02.05.09,Kitchen accessories Mouldings
PPH Altex Aleksandra i Witold Kucharscy,SGS-COC-1586,Poland,Europe,"2 Koscierska St., 83-441 Wiele",Mr. Witold Kucharski,48 58 687 32 15,48 58 687 32 15,,14.11.03,13.11.08,Turned elements,
Tartak Grodziec sp. z o.o.,SW-COC-1154,Poland,Europe,"Mlynska 10, 62-580 Grodziec, Poland.","Pawel Wlodarczyk, production manager","+48632485650, +48601157743",48632485630,tartakgrodziec@lm.pl ,,24.02.04,23.02.09,Furniture - outdoor / garden Garden supplies Lumber (kiln-dried) 3000 Lumber (green) 3000 Construction wood 2000
P.W “Drewno-Hurt” Ryszard Roczniak,SGS-COC-1610,Poland,Europe,"2 Sloneczna St., Zarzecze, 37-400 Nisko,",Mr. Ryszard Rocznia,+ 48 15 870 13 59,+ 48 15 870 13 59,,14.01.04,13.01.09,Wooden batten & floor boards,
TRAKART Sp. z o.o.,SGS-COC-1673,Poland,Europe,"5 Stolarska Str., 66-235 Torzym",Mr. Norbert Klimiuk,+48 68 341 49 41,+48 68 341 49 42,,02.02.04,01.02.09,Garden wooden products,
"“TOMAR” Arkadiusz Wolkiewicz, Tomasz Szczepanski",SGS-COC-1668,Poland,Europe,"Budy Matusy 1., 06-540 Radzanow",Mrs. Iwona Wolkiewicz,+48 23 613 06 87,+48 23 655 28 44,,26.02.04,27.02.09,Fire wood,
PPHU „SPLAW” W i L Szydlowscy s. j.,SGS-COC-1657,Poland,Europe,"3a Kolejowa St., 19-100 Monki, POLAND",Mr. Wieslaw Szydlowski – owner,+ 48 85 716 23 49,+ 48 85 716 23 49,,19.02.04,18.02.09,Sawmill products,
MEBLOSTYL Sp. z o.o.,SGS-COC-1650,Poland,Europe,"4 Cmentarna St., 89-650 Czersk,",Mr. Boguslaw Kulas,+ 48 52 398 42 19,+ 48 52 390 51 15,,13.02.04,12.02.09,Furniture,
Przedsiebiorstwo Produkcyjno-Handlowe CARYA Sp. z o. o.,SGS-COC-1637,Poland,Europe,"73a Opolska St., 46-300 Olesno, POLAND",Mr. Rudolf Nieslony – Managing Director,+ 48 34 321 54 30,+ 48 34 350 41 50,,11.02.04,10.02.09,Turned products,
Zaklad Przemyslu Drzewnego Czlopa,SW-COC-1112,Poland,Europe,"ul. Zwyciestwa Wojska Polskiego 27, 78-630 Czlopa, Poland",Leszek Graban,"+48672592130, +48609284879",48672592130,zpd.czlopa@pro.onet.pl ,,15.12.03,14.12.08,Fencing Furniture - outdoor / garden Garden supplies Logs Lumber (kiln-dried) Sawdust Lumber (green) Chips Construction wood
'Impregna & Partnerzy' Group,SW-COC-1122,Poland,Europe,"ul. Kolejowa 5 Margonin, 64-830",Mr. Jacek Piasecki,48672847138,48672847323,pw.anna@pro.onet.pl ,,15.01.04,14.01.09,Fencing Furniture - outdoor / garden Garden supplies Lumber (kiln-dried) Mouldings Lumber (green)
PPHU BAST Sebastian Kujawa,SW-COC-1109,Poland,Europe,"ul. Brzeska 54 Radziejów, 88-200",Mr. Krzysztof Kujawa,"48542853545, +48508251840",48542853545,bast@konin.lm.pl ,,15.12.03,14.12.08,Fencing
Zaklad Przemyslu Drzewnego ROMA sp. z o.o.,SW-COC-1110,Poland,Europe,"Klasztorna 23, 62-130 Golancz, Poland",48672615935,48672615946,92151195@pro.onet.pl ,,15.12.03,14.12.08,Fencing Flooring Furniture - outdoor / garden Garden supplies Logs Lumber (kilndried) Sawdust Lumber (green) Chips Construction wood,
AZUMA RINGYO LIMITED,SGS-COC-1629,Poland,Europe,"459-1, Okuyama, Nigiokamachi, Otsuki-shi, Yamanashi-ken,",Mr Azuma Kawano,81 554 22 3779,81 554 23 4548,,21.01.04,20.01.09,"Roundwoods / Japanese Cypress, Japanese Cedar and Japanese Red Pine",
Zaklad Produkcyjno-Uslugowy “POLCYN”,SGS-COC-1627,Poland,Europe,"42 Rogozinska St., 64-840 Budzyn,",Mr. Zygmunt Polcyn,+ 48 67 284 31 19,+ 48 67 284 31 19,,21.01.04,20.01.09,Lamps’ elements,
ARAMIS Sp. z o.o.,SGS-COC-1626,Poland,Europe,"116 Biedrzychowice, 59-830 Olszyna,",Mr. Ryszard Czosnyka–,+ 48 75 732 16 99,+ 48 75 732 12 31,,21.01.04,20.01.09,Garden wooden products,
PPHU Import Eksport Izabella Jasinska,SGS-COC-1616,Poland,Europe,59-830 Olszyna Biedrzychowice 116,Mrs. Izabella Jasinska,+ 48 75 72 40 650,,14.01.04,13.01.09,round wood,,
BIURO OBSLUGI EXPORTU,SGS-COC-1615,Poland,Europe,"6a/9 Koszalinska St., 77-200 Miastko",Mr. Jan Zywicki,+48 59 821 37 69,,14.01.04,13.01.09,Garden wooden products,,
Bydgoskie Zaklady Sklejek “Sklejka Multi” S.A.,SGS-COC-1647,Poland,Europe,"154 Fordonska St., 85-752 Bydgoszcz",Mr. Jaroslaw Luczak,+48 52 342 50 61,+48 52 342 06 73,,13.02.04,12.02.09,Plywood,
PPHU „EKOPLAST” Robert Jarzab,SGS-COC-1611,Poland,Europe,"64m.1 Lubanska St., 59-700 Boleslawiec,",Mr. Robert Jarzab,+ 48 75 732 42 74,+ 48 75 732 42 74,,14.01.04,13.01.09,Wooden garden products,
P.W. KONTRAKT Ryszard Dylas,SW-COC-1155,Poland,Europe,"Zawiszyn 29 Rojewo, 88-111",Mr. Maciej Dylas,"+48523512586, +48604410730",48523511039,struga_sa@onet.pl ,,15.12.03,14.12.08,Furniture - outdoor / garden Garden supplies Lumber (green) Construction wood
Terrar S.A.,SW-COC-1131,Portugal,Europe,Raso de Paredes - Apartado 47 3754-909 Águeda,Mr. Carlos De Almeida,+35191 76 20 760,+35123 46 01 815,terra@mail.telepac.pt ,www.terrar.pt,01.12.03,30.11.08,"Components Fire surrounds, kitchen units and solid pine"
Cattie Europa,SGS-COC-0820,Principality of Andorra,Europe,"Av. Del Frener, 11 4-6 Andorra la Vella",Caroline Gauthier,+376 80 20 51,cattie@andorra.ad ,,30.10.01,29.10.06,The purchase and sale of hardwood garden furniture,
S.C. Agroindustriala Legumicola Sinnicolau Mare S.A.,ICILA-COC-015,Romania,Europe,Str. Garii 12 - 1976 Sannicolau Mare - Timis,Mr. Giorgio Della Rovere,-370629,-372416,,19.12.01,19.12.04,Kiln dried and profiled wooden elements of various species,
S.C. MTI Impex SRL,SA-COC-1213,Romania,Europe,"Soseaua Cristianului street, km.5, DN. 73, Brasov",Mr. Gabriel Cornea,40268 47 29 86 / 26 32,40268 47 29 87,g.cornea@mti.ro; r.muntean@mti.ro ,,20.11.02,19.11.07,"garden furniture, joinery products, and children's play equipment Flower boxes, trellis, pergolas, benches, tables, floor tiles, doors, portals, woodsheds, marquees, staircases, playhouses, swings, picnic tables and window frames"
SC LARIX FOREST S.r.l.,ICILA-COC-050,Romania,Europe,"Str. Iernuteni 56 - 545300 Reghin, Jud. Mures",Mr. Stefan Pop,-512215,-512216,larix@fx.ro ,,13.01.04,10.01.09,Garden furniture manufacture and commercialization
Oculul Silvic Tg. Neamt,SA-COC-1269,Romania,Europe,"str. 1 Dec 1918, Tg. Neamt, Romania ","Mr Neculai Andone, Manager, Ms Aurica Bordianu, Production Manager",00 40 233 790 397,00 40 233 790 419,,11.07.03,10.07.08,"Sawn timber, elements, fruit boxes, made from fir, spruce, beech, oak, sycamore, and ash (rarely poplar, lime, cherry)",
S.C. European Wood Products SRL,SGS-COC-1483,Romania,Europe,Apoldu de Sus D.N. 1 Jud. Sibiu,Mr. Florin Groza,40 269 534 323,40 269 534 323,ewp@solutia.ro ,,02.09.03,01.09.08,
HLV Transilvania SRL,SGS-COC-1484,Romania,Europe,Henri Coanda N°12 Judetul Sibiu,Hadar Octavian Catalin,40269555339,40269555455,hlv@hlv.ro ,,02.09.03,01.09.08,
